,0
0,good suv engine make lot noisesbought jeep compass sport august khatwani motor jabalpur suv soft roader patchy dynamic well finished model good road capability x mode good road capability whereas x excellent road capability departure angle excellent i read
1,excellent car great car jeep compass limited manual car dream till date faced problem power handling luxury feel everything get lakh absolutely insane really suited indian road condition never felt lethargic even driving km per day read
2,excellent suvjeep compass efficient car elegantly designed powerful car segment compared harrier creta efficient best value money excellent driving experience necessary feature required segment car confusion similar car go get jeep compass bli read
3,satisfied many issue clutch plate liter fiat sourced diesel engine problematic compelled get clutch plate changed twice km
4,value money nearly year jeep compass limited edition must say completely fantastic car feature good loved car value money maintenance bit high person buy seaters range feel read
5,best car performancejeep compass nice car loaded feature cost le interior look nice suitable price best roading car compact suv car year segment colour looking nice engine nice xfd xfd xfd powerful car also adventure car roading teren management system v read
6,poor build qualityi purchased jeep compass limited plus st july within day vehicle even driven km km first day lot annoying sound audible sunroof dashboard door maybe c pillar suspension read
7,great car far jeep compass great car dimension car look brilliant pick car tremendous
8,service issuesthe car high service cost also requires regular service cost lac plus last month would suggest buying cost justified performance car complaint monitored company really care concern read
9,best car jeep compass likely car drown till know superb mostly like comfort driving kerala place feel tired
10,complete suvjeep compass excellent suv score safety feature excellent round performance jeep compass excellent highway cruiser jeep compass come safety feature traction control rollover mitigation esp electronic parking brake hill assist hill descent control standard jeep compass build quality interior read
11,jeep compass beast jeep compass good car suv lac touch screen infotainment system legroom also good give luxurious look ac provides cooling fast connectivity also good people seated easily grey colour also led drls boot space also spacious ground clearance read
12,jeeplife true tag line go anywhere anything jeep compass best suv segment super build quality provides best driving pleasure jeeplife read
13,super beastbeast hand word perfect car ruin car road weather highway city driving car unmatched using last one month every day like first day drawback time bad fuel efficiency kmpl major drawback initial power lag always surprise go per c read
14,jeep compasswith striking interior exterior design host feel good feature multiple powertrain option jeep seems cut corner equipping first offering india read
15,good cool producti complaining jeep compass reason star pricing maintenance top model budget one big car like fortuner overall good package somewhere differentiated segment car status maintaining product good car read
16,third class car purchased jeep compass limited plus model may drove vehicle km started creating problem like leaked diesel pump engine problem rd class car read
17,jeep compass perfect family carthe car awesome pick come marvelous look full filled requirement love drive car especially roading hilly area read
18,premium suvjeep compass premium word comfortable porch car thank jeep
19,nice carsuper nice look interior also good
20,bad bought jeep compassthe car year warranty battery sure warranty average km per liter petrol disaster told selling buying showroom insurance rep asked plus insisted getting outside dropped charged nano paint read
21,safest vehicle jeep compass suv awesome comfort driving pleasure roading capability top notch comparison suv segment
22,jeep compasshi purchased jeep compass last year july still year completed yet car creating many problem engine side like fuel pump failed part available service agency hyderabad suggest everyone buy jeep compass read
23,jeep compass fab outstanding suv pride owner jeep compass limited plus x buying car good decision glad performance car would surely recommend anyone thinking buy go think harrier hector compass famous premium quality read
24,great machineinitially bit hesitant jeep compass month usage feel great machine high power styling pure driving pleasure bit expensive justified checking competitor market read
25,excellent performance jeep except low mileage buying jeep compass good decision jeep powerful nice highway braking sudden driving city traffic easy petrol jeep giving mileage km ltr instead km ltr need checked made complaint service center satisfactory reply action sale service good except mileag read
26,excellent carjeep compass ultimate suv totally satisfied licence road drawback le backspace unmatched power
27,best cari owned jeep compass loved car best option price range
28,darling carthe darling car life great wonderful car drive feature beauty excellent
29,awaited car dream car best look ahead car stunning look attractive lot
30,value money cari suggest jeep compass longitude option man looking perfect value money feature comparing top end model speed automatic transmission read
31,beast jeep compasscar omg beast car ultimate roarer power handling suspension look body totally amazing beauty beast best love car interior amazing give feel expensive car luxurious comfortable also read
32,jeep compasspure driving pleasure vehicle incomparable class p horse power kill top speed kmph torque speed enormous second gear stable vehicle high speed mcpherson strut shock absorber smoothens ride terrain looking long drive vehicle jus read
33,jeep compassi purchased jeep compass automatic last august wonderful experience till performance feature drivability comfort level everything top notch would say pricing quite impressive much satisfied suv overall recommend purchase read
34,jeep compassit best suv car best segment powerful great experience car human thing
35,service pooram regretfully informing jeep compass longitude petrol purchased february agency showing electrical fault brek light day delivered manage send vehicle twice pathway bhopal workshop unfortunately failed rectify problem backlights still read
36,battery issue yrwe bought jeep compass jan may battery died warranty shocked battery die yr honda city yr never issue buy jeep unless willing sign battery failure yr apparently common problem also part issue — read
37,amazing carin love confidence jeep compass give driving high speed due exceptional control safety technology help controlling vehicle possible condition jeep take weekend trail road capability really amazing limited plus × variant every read
38,jeep compass absolute geman absolute beast love car every aspect powerful engine great drivability material used interior absolutely premium quality looking great quality car really passionate drive go jeep compass without second thought read
39,car one kind indiathe car jack trade inch wheelbase ebv instead handbrake superior panoramic sunroof lovely want speed style stability one go jeep compass limited plus read
40,amazing carit amazing car perfect indian road feature car amazing design premium luxury good making safety good mileage × power good feel road drive strong body car suitable age person good handling girl good seat amazing leg space amazing light design good small work read
41,true jeep heritagethe buying experience expected car however different story look draw passerby attention fun drive due amount power torque available hand build quality commendable exterior interior far better car segment numerous small feature give go read
42,awesome carawesome car best suv drive price range built quality solid quick peppy engine
43,lead waya beautiful machine drive power smooth engine feel like getting car
44,wait youi impressed design still dream one day owner muscle
45,best premium suv indiajeep compass limited plus nice suv look like muscular top class car car make build quality fantastic feel better offroad safety feature car new feature panoramic sunroof look amazing car parking button good read
46,best carbest car indian road solid build strong look comprehends together make machine irresistible watch drive quality price range happy owner jeep compass feeling proud choice read
47,jeep brandjeep compass good car using car car smooth happy brand sound good seat memory awesome jeep compass sunroof large panoramic sunroof good read
48,great specification car middle class familiesone wonderful car family suitable kind road milage perfect highway simble jeep luxurious world car budget car middle class people car sound system perfect luxurious look greatest thing car seat car suitable familyread
49,superior carultimate design ultimate feature comfortable seat price
50,review jeep sport bedrock petrol average performancei using sport bedrock petrol felt serious lack power thrust especially get little rise road going downside road also mileage getting city around km l poor compared vehicle segment read
51,best featuressuperb suv top × model cool feature best feature among suv reviewed look perfect colour combination good read
52,love carawesome car talk feature awesome feature
53,best favourite carbest road adventure exploring new destination
54,great car performanceit come great driving experience power build quality car best segment
55,perfect combination power luxury car feature loaded come litre turbocharged engine give power ride suspension best class interior awesome comfort level high real value money car best thing jeep designed car india terrain powerful luxurious machine built please rider read
56,fine suvone finest suv came across searching right one one head turner performance amazing u drive machine wonderful loved beast read
57,ride quality driving dynamic car make suv feel like sport hatch much fun driving suv last time much fun first generation swift vehicle feel really planted stable triple digit speed highway fit finish quality excellent leather seat one read
58,great suv top linebest suv segment love jeep really head turner vehicle great road appearance
59,good cari say word nothing say car awesome brought car july six gear also tn average service also good people awesome tell going buy baleno read
60,compass good cara good car awesome pickup performance need speaking comfort awesome time lovely drive highway able drive mile together without stress prefer automatic transmission vehicle manual clutch flaw suit indian road condition apart clutch every aspect goo read
61,compass complete compact suv carsatisfied variant driving comfort fuel economy much compact great car
62,roar lionamazing car cool feature excellent look hydro blue color mind blowing car
63,jeep next kid value money look awesome everything designed keeping mind aspect car must vehicle planning buy soon
64,compass feel best class horsepower great mileage head turning exterior eye catching iron man inspired headlamp
65,best car ever excellent car ever traveled pickup amazing drive car really fast speed
66,jeep compass best suv jeep compass superb comfort high stability fine control even higher speed
67,king roadfantastic design drive smoothly amazing feature also getting best engine sound
68,ultimate roading machinejeep compass undoubtedly synonym roading strong built match indeed ultimate machine
69,go jeep compassjeep compass superb comfort high stability fine control even top speed
70,never drive never know beauty brilliant diesel engine adequate bhp take maximum speed experience good road grip great ambiance lovely machine thoroughly enjoyed driving motor read
71,superb carultimate driving experience lot power yet smooth handling much control confidence anyone feel driving driving condition whether bumper bumper traffic low speed highway drive even speed road bad road condition driving experience full fun read
72,awesome jeep compassi purchased jeep compass may since turning back ride experience awesome
73,jeep compass limited plusbought beast month back performance highway well road great much power great mileage awesome built quality amazing need drive compass know much satisfied getting hand read
74,brilliant worthy carjeep compass brilliant car worth price solid body accompanied elegant look gem roader coin two face face jeep brand lack service read
75,jeep feel wowjeep compass amazing suv experience hilly terrain area great satisfied budget waiting new trail hawk purchase amazing roader also read
76,unbelievable jeepthe new jeep compass hope suv lover engine car superb petroleum tank also big best car
77,jeep compassjeep compass best car driven far excellent performance also great point
78,jeep compasspros build quality like military tank driving experience interior ambience road presence jeep branding coming neutral touch screen response design alloy wheel con front flop bumper tends touch low ground remove absence automatic transmission dieselread
79,jeep compassjeep compass whole new concept beauty also beast best class speed comfort engine best thing car noise cancellation inside car smooth also best roading looking car budget best feature may buy beast read
80,jeep compassjeep compass great car great looking everything good jeep compass
81,jeep compassjeep compass nice car smooth drive
82,jeep compassjeep compass best feature seater car segment nice sporty look feel luxurious car comfortable powerful
83,jeep compassi taken car january working well given star le feature compare toyota fortuner
84,jeep compassjeep compass smooth running refined engine perfect highway car
85,jeep compassjeep compass superb car extreme performance x perfect car best car medium range
86,jeep compassjeep compass superb car using last month massive power wheel drive
87,engine car offered mind boggling feature interior premium offer great competition creta harrier rpm run like bullet
88,jeep compassjeep compass nice car car good mileage much power bhp even le noise inside car
89,jeep compassit good car would say perfect ya good value money product limited plus variant costly power engine superb interior luxurious road presence read
90,jeep compassthe main highlight jeep compass bhp engine give decent mileage le kmpl urban condition dthe driving position good seat good drawback company offer least rear sensor lakh vehicle moreover offering floor mat first service read
91,jeep compassjeep compass nice car great model good performance
92,jeep compassdriving jeep compass addiction power flawless drive make absolute delight additionally tank like build quality safety make live jeep brand read
93,jeep compassjeep compass real love thrill drive comfort smooth gear shift best pickup
94,jeep compassi bought jeep compass limited plus last week oh god suv perfect blend killing look beasty power comfortable drive made enthusiast driver loving read
95,jeep compassjeep compass nice exterior design compact suv attractive one segment
96,fantastic carfantastic suv drive long rough surface loved design performance
97,jeep compassjeep compass good suv problem rear seat uncomfortable
98,jeep compass excellent mileage got jeep compass really outstanding mileage km l km super control overall love jeep till best experience service centre mark jeep work complaint jeep compass suvread
99,jeep compass best suvjeep compass stylish body upscale suv real long lasting rough tough quality come high safety standard true suv road
100,best driver suv bracketin country obsessed feature often forget car tool get one point another get car everything find good stretch road know read
101,jeep compassjeep compass bad car perfect indian road maintenance cost high
102,jeep compassjeep compass bad car perfect indian road maintenance cost high
103,best segment easily best car segment horsepower l diesel engine producing nm peak torque one best driver car
104,jeep compass bestjeep compass best suv segment phenomenal price
105,jeep compassjeep compass really nice car interior awesome leather seat really good designed airbags amazing wish jeep keep making awesome car read
106,love jeep compassjeep compass amazing feature good enough common man
107,beasti jeep compass drive perfectly type road plane road sand road mountain also desert love
108,shaft problemi purchased jeep compass diesel limited option model choose purchase jeep safety feature bought top end model going well dec one night dec met accident driving jeep compass friend speed km hr freeway suddenly righ read
109,phenomenal car satisfying car money bracket proud owner jeep compass limited plus xfe
110,stylish jeep compass royal compassthis car beautiful wonderful interior amazing exterior also nice best suv forever good looking car important car royal car dream car jeep compass nice car stylish also front design also good sunroof amazing really appreciate car b read
111,branded car better say golden starthe attractive point designed like luxurious model series like benz affordable price range love car buy even middle rich class people car insanely awesome suv read
112,carthis car accurate car range think evolution car car feature loaded masterpiece jeep
113,cautious buy jeep bought jeep longitude paid mopar maintenance package august authorised showroom coimbatore poor sale team knowledge car lol next variant cheating money get invoice value paid insurance amount doubled actual insurance jeep provi read
114,best suv indiaawesome car good price good looking affordable car best suv awesome feature
115,king roadwe bought car november got limited plus variant exactly month later went road trip kolkata rajasthan car performed brilliantly part car could go went flawlessly without problem read
116,like roadsthe jeep compass awesome car awesome safety feature come wheel drive wheel disc brake wide sunroof car look amazing
117,bad quality battery rear seat bought jeep compass automatic january car broke exactly day delivery due battery problem company given year warranty vehicle battery exide fitted car low quality service center guy say one year guarantee exide battery pay exid read
118,great experiencenice car drive highway best handling car high speed
119,comfortable carit nice car satisfied safety facility easy long traveling safe u
120,petrol driking mechine avrage km l name johnson correya currently reside powai mumbai purchased petrol model jeep compass sport variant manual transmission buying vehicle checked review different website vehicle discussed feature sale team especially salesperson landmark mumbai read
121,limited plusa heavy car nice look best part dual panoramic sunroof
122,petrol drinking car km l buying experience bad mistake never checked mileage car believed sale person told average mileage km l jeep team ready accept mileage issue sent several email entire jeep team reply solution getting average mileage read
123,finally big toy houseawesome deal really want buy jeep compass already booked
124,wow beautyjeep compass superb road handling good mileage manly looking one ask
125,buy jeepworst sale service jeep rsa jeep crushed jeep one listening buying worst decision
126,jeep featuresjeep compass nice look well good safe car like
127,jeep fabulousit fantastic car want enjoy real drive hilly area straight rough road give pleasant drive experience new sunroof facility awesome wait long time read
128,jeep compyjeep compass superb car available facility also good mileage
129,value moneyit muscular car bold attractive look built quality awesome power extremely nitro good speaker overall value money everything car accept paddle shift ok manage read
130,best class new jeep compass absolutely doubt car first class feature × option amazing enables go long drive well roading come short come comfort brake may make feel little uncomfortable overall make better fuel economy jeep compass exc read
131,best highwaysvery stable speed luxury comfort suv simple seater perfect vehicle love power class
132,good look strong suvgood looking smooth engine panoramic sunroof led drl looking superb
133,awesome look space sunroof look batter oawesome look space sunroof look better car like porsche car great power amazing look
134,jeep compassit awesome car price jeep brand awesome need like jeep
135,say jeep favolusit fantastic car want enjoy real drive hilly area straight rough road give pleasant drive new sunroof facility awesome wait long time read
136,plan buy suv think compass wow wot suv perfect suv one like compass super smooth super slint super grip fully superb plan buy suv think compass read
137,rugged powerful suvthe jeep compass powerful extremely powerful suv capable going road also loaded tonne feature
138,little monsteri got little monster month back great build quality overhead turning look good good quality ride getting bit noise engine may solved first service hope overall good car read
139,awesome suvamazing driving experience one word ride quality excellent along quality interior comfortable seat awesome head turning look purchased cream white jeep compass limited x landmark showroom moti nagar delhi beginning month supportive enthusiastic sale team staff unmatched buying experience read
140,jeep compass experience driving kmswe family four really fond car including little one year old well elder year old son rattle power torque figure different car car owned driving oriented always take build quality driving dynamic safety top priority every time choose ne read
141,jeep compass car lavish drivingi bought diesel variant car may following mind choosing car safety comfort quality attractive look powerif practical number feature paying price jeep compass many brand giving much price jeep compass committed read
142,better option availablei took test drive jeep compass petrol automatic top end surprised find basic feature car missing price tag l prosgood build qualitycomfortableconsbasic feature missing like led headlamp cruise control airbagsaudio system better maruti sspare wheel smaller size thus read
143,real jeep jeep compass true quality productit great vehicle awesome build quality high safety standard great drive highway excellent ride handling great build quality excellent exterior interior quality finish harman excellent music system segment security feature standard read
144,road king smooth ridegreat look smooth ride best road driving engine run smooth limited variant totally great searching compact suv jeep compass road king car better segment also fit budget read
145,stronger fully loaded featuresthis car part family month overcome obstacle performed well road till compass perfect build quality safety feature read
146,pathetic sale servicethe jeep compass good build quality performance easily washed away compare sale service experience
147,good drivei bought jeep compass longitude optional year back sep enjoying drive like user overall performance vehicle good expected went service overall experience turned read
148,awesome test drive experiencei took test drive jeep compass top variant month back superb drive build quality car seems good compass feature including panoramic sunroof inch touchscreen infotainment system way powered driver seat inch wheel worth option consider want buy suv read
149,excellent carpros powerful punchy engine amazing build quality good interior superior ride quality handling design simply spectacular con small screen size ice sunroof available dummy button still love car waiting delivery read
150,jeep compass attractive design amazing performancejeep compass name strike mind get image hardcore road jeep like vehicle case jeep compass though plush well roader don typical city suv look bought jeep compass january till date never failed impress one way amazing read
151,amazing driving experience bough jeep compass limited th nov actuallly hyundai lover using hyundai car last year july jeep compass launched india month study jeep planned purchase compass cancelling booking hyundai tucson one great decision purchase jeep compass black colour read
152,horrible life threatening vehiclei bought jeep compass one month back n close km drive yesterday horrible experience driving pune city driving city family n suddenly fire smoke started front bonnet family scared n side vehicle people started pointing abt smoke managed park side road read
153,horrible rideindian jeep compass disappoints local sourcing spoilsport unsettled ride wayward steering horrible tyre stall frequently second gear rear sharply thud speed breaker unhealthy side side movement designer faint drive indian compass sub standard part blame horrible quality check read
154,arrogant staff sink jeep compassi air force officer impressed jeep x month offer went dealer bangalore enquiring carried cheque book book vehicle anticipation honest interaction sale personi first asked csd price list said tone tenour read
155,jeep compass truly compactoverall nice compact suv however would like mention comment basing experienced cabin size especially height roof front seat bit low bumper low hilly area read
156,awesome suvgreat styling premium interior ride quality good great value money go well iconic brand name compete car one level higher still experience service part though expecting good service network read
157,worst customer service jeep company dealershipworst customer care jeep dealership dealer escalated jeep company response even worse one care customer pain point basic elementries customer installation delivery ignored overall experience jeep bad feeling sad bought jeep product read
158,bad indian carsdiesel engine loud cabin body frame sound also acceptable segment car purchased vehicle dehradun driven km driving since year driven brand car suv read
159,great suvultimate suvkya khu iske bare test drive karo kud jaan jaowhat break system controlling power curvings built quality road head jeep company jo aisi suv banayi jitna khu utna kam read
160,great car great servicei bought limited diesel mohali dealership th january must say experience till great aspect confirmed purchase got delivery next day one day took banking formality amazing experience dealership mohali professional customer oriented even changed read
161,good car lack automatic transmissionmy friend recently bought jeep compass got small drive drove highway car felt well planted switch gear frequently order keep car moving made pretty relaxing drive came back city heavy clutch started get irritating painful th read
162,x mt compass l v awd tucson l compass come x cost atleast obviously new launch discount offer tucson discount offer l going available almost price x compass therefore tucson bigger powerful fuel efficient better dynamically designed read
163,jeep compass attractive suv miss key featuresi started following update small suv moment announced indian market key reason behind purchasing car attractive design fell love first sight since jeep product caring much build quality driving experience ride handling read
164,jeep worst car maker indiai purchased jeep compass limited th november delivery date th december within week vehicle breakdown nobody know happened road assistance service brought service center day proper solution far thing premium vehicle expected great service experience horrible read
165,jeep india worst sale team fake commitment deliver carvery disappointed jeep india dealer big brand poor management india fake data disclosing car delivered booking completed actual data wrong car road almost everyone waiting wasting time dealer initially promise deliver car first read
166,jeep compass great value money suv good back time writing review jeep compass longitude diesel mt mid segment jeep compass series start let tell vehicle absolutely solid heavy build give impeccable presence wherever go let talk engine dynamic diesel engine baby ltr read
167,truly urban jeep looking move good old mitsubishi outlander yes petrol suv diesel fan criterion suv chic look automatic petrol much choice available indian market shortlisted fortuner petrol tucson petrol read jeep launching petrol automatic thought give read
168,worst tyre jeep carsin india jeep car supplying good tyre car jeep compass car firestone tyre got bursted mysore city ride km aware read
169,multiple issuesbad experience far gear issue accompanied burning smell electronic parking brake failure le km even service team clueless
170,jeep compass unbelievably affordablei huge fan jeep badge sturdy macho vehicle american brand manufacture simply unmatchable following jeep compass since time first showcased massive road presence sharp styling compass suv cannot compared crossover country apart read
171,compass stayi bought jeep compass head turning look amazement compass lot offer ride quality sublime seating comfort although high door sill get way time especially hurry sound system amazing say infotainment display read
172,brand quality stylefirst version jeep compass worth money thing change look limited option onwards get feature one would like see compact suv price bit higher compared brand brand also matter sure people go compass look price buy brand quality read
173,x till november sun roofafter month waiting fr launch booked top end x first day booking opened going cancel booking reason delivery x till nov imminent increase tax road price go frm lac pay l fr top end vehicle still dummy button steering undersize read
174,small suvi saw jeep compass nearby dealership today smaller look image tucson comparison look wider sit inside quality material used good space also decent two six foot tall guy sit one behind look wide think driver read
175,good job jeeplooks interior soft touch leather touch screen harman kardon speaker safety feature comfortable seat low noise cabin led front nd rear light smooth drive read
